I, [2018-08-01T06:24:16.572853 #6243]  INFO -- Kitchen: -----> Starting Kitchen (v1.16.0)
E, [2018-08-01T06:24:16.573797 #6243] ERROR -- Kitchen: ------Exception-------
E, [2018-08-01T06:24:16.573874 #6243] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2018-08-01T06:24:16.573929 #6243] ERROR -- Kitchen: Message: Kitchen YAML file /home/chef/chef-repo/.kitchen.yml does not exist.
E, [2018-08-01T06:24:16.573980 #6243] ERROR -- Kitchen: ----------------------
E, [2018-08-01T06:24:16.574030 #6243] ERROR -- Kitchen: ------Backtrace-------
E, [2018-08-01T06:24:16.574079 #6243] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/loader/yaml.rb:71:in `read'
E, [2018-08-01T06:24:16.574131 #6243] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/config.rb:152:in `data'
E, [2018-08-01T06:24:16.574181 #6243] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/config.rb:131:in `suites'
E, [2018-08-01T06:24:16.574231 #6243] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/config.rb:182:in `filter_instances'
E, [2018-08-01T06:24:16.574281 #6243] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/config.rb:141:in `build_instances'
E, [2018-08-01T06:24:16.574331 #6243] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/config.rb:117:in `instances'
E, [2018-08-01T06:24:16.574380 #6243] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2018-08-01T06:24:16.574495 #6243] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2018-08-01T06:24:16.574577 #6243] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/command/test.rb:40:in `block in call'
E, [2018-08-01T06:24:16.574628 #6243] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.4.0/benchmark.rb:293:in `measure'
E, [2018-08-01T06:24:16.574678 #6243] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/command/test.rb:38:in `call'
E, [2018-08-01T06:24:16.574727 #6243] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/cli.rb:53:in `perform'
E, [2018-08-01T06:24:16.574777 #6243] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/cli.rb:234:in `test'
E, [2018-08-01T06:24:16.574826 #6243] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2018-08-01T06:24:16.574876 #6243] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2018-08-01T06:24:16.574925 #6243] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/cli.rb:334:in `invoke_task'
E, [2018-08-01T06:24:16.574974 #6243] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2018-08-01T06:24:16.575040 #6243] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2018-08-01T06:24:16.575092 #6243] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/bin/kitchen:13:in `block in <top (required)>'
E, [2018-08-01T06:24:16.575167 #6243] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2018-08-01T06:24:16.575220 #6243] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/bin/kitchen:13:in `<top (required)>'
E, [2018-08-01T06:24:16.575269 #6243] ERROR -- Kitchen: /opt/chefdk/bin/kitchen:263:in `load'
E, [2018-08-01T06:24:16.575319 #6243] ERROR -- Kitchen: /opt/chefdk/bin/kitchen:263:in `<main>'
E, [2018-08-01T06:24:16.575368 #6243] ERROR -- Kitchen: ----End Backtrace-----
